County,State,Adult Obesity (2018),Adult Smoking (2018),Limited Access To Healthy Foods (2018),Poverty Rate (2018)
Washington County, KS,0.312000006,0.138408452,0.167329773,
Weston County, WY,0.319999993,0.171381295,0.041994669,
Autauga County, AL,0.363999993,0.191246584,0.119911253,
Westchester County, NY,0.208000004,0.113797545,0.013791853,0.081534101
Washington County, NY,0.307999998,0.190226048,0.042864431,
Baldwin County, AL,0.293000013,0.167954847,0.054244265,0.089433734
Washakie County, WY,0.270999998,0.156075731,0.036215905,
Warren County, NY,0.259000003,0.181800395,0.038694929,0.108340946
Wyoming County, NY,0.272000015,0.219263896,0.060666591,
Barbour County, AL,0.442000002,0.215408772,0.107396662,
Uinta County, WY,0.321999997,0.181805864,0.097271517,
Ulster County, NY,0.263999999,0.158123896,0.081205793,0.149668284
Bibb County, AL,0.384000003,0.199164048,0.026016271,
Yates County, NY,0.263000011,0.162705839,0.005000107,
Tompkins County, NY,0.244000003,0.149877861,0.053615965,0.174133711
Blount County, AL,0.35800001,0.19652158,0.028801499,
Teton County, WY,0.133000001,0.141372666,0.074094631,
Tioga County, NY,0.300000012,0.169024035,0.027423352,
Alamance County, NC,0.328999996,0.187907651,0.100207485,0.13230697
Bullock County, AL,0.40200001,0.234782904,0.197433501,
Sweetwater County, WY,0.31099999,0.175669432,0.108453311,
Sullivan County, NY,0.298000008,0.181990206,0.046694309,0.156182124
Butler County, AL,0.360000014,0.221976548,0.029261218,
Alexander County, NC,0.321999997,0.185845986,0.029540792,
Suffolk County, NY,0.247999996,0.150384307,0.039045449,0.07152677
Calhoun County, AL,0.361000001,0.204622313,0.091785669,0.204860392
Sublette County, WY,0.261999995,0.144150153,0.039075758,
Steuben County, NY,0.324999988,0.194515124,0.029632965,0.123380138
Alleghany County, NC,0.282999992,0.185152084,0.017857548,
Chambers County, AL,0.379999995,0.220403701,0.103285581,
Sheridan County, WY,0.250999987,0.161455721,0.112605937,
Seneca County, NY,0.289000005,0.17553857,0.059773751,
Cherokee County, AL,0.354999989,0.191448525,0.002211124,
Anson County, NC,0.345999986,0.218517005,0.036341529,
Schuyler County, NY,0.272000015,0.174594864,0.030344099,
Chilton County, AL,0.360000014,0.196732745,0.01460531,
Platte County, WY,0.287,0.158904821,0.071856357,
Schoharie County, NY,0.27700001,0.177622616,0.069357969,
Ashe County, NC,0.300000012,0.169497743,0.022911759,
Choctaw County, AL,0.395000011,0.190620601,0.072904192,
Park County, WY,0.247999996,0.14300251,0.048587356,
Schenectady County, NY,0.270000011,0.164991334,0.057252232,0.107323166
Clarke County, AL,0.384000003,0.209333226,0.11154712,
Avery County, NC,0.275999993,0.18803829,0.001795913,
Saratoga County, NY,0.270999998,0.155319124,0.039844301,0.059402009
Clay County, AL,0.381000012,0.191394046,0.023268798,
Niobrara County, WY,0.256999999,0.172908828,0.079164051,
St. Lawrence County, NY,0.30399999,0.184719399,0.067875169,0.142191795
Beaufort County, NC,0.347000003,0.17995809,0.038571458,
Cleburne County, AL,0.345999986,0.197105125,0.020717157,
Natrona County, WY,0.312999994,0.169158235,0.12221507,0.078511807
Rockland County, NY,0.234999999,0.117047548,0.03337587,0.146459977
Coffee County, AL,0.342000008,0.182012215,0.059812032,
Bertie County, NC,0.368999988,0.196116775,0.025291538,
Richmond County, NY,0.275999993,0.156460613,0.001720708,0.114474808
Colbert County, AL,0.345999986,0.183711469,0.065517046,
Lincoln County, WY,0.270000011,0.139749482,0.030214103,
Rensselaer County, NY,0.294,0.167143524,0.042813715,0.111624251
Bladen County, NC,0.382999986,0.212431997,0.029323777,
Conecuh County, AL,0.381999999,0.234799966,0.132297769,
Laramie County, WY,0.305000007,0.185407013,0.104891181,0.08436955
Queens County, NY,0.238999993,0.123078644,0.000320444,0.114736689
Coosa County, AL,0.400999993,0.2050457,0.101248078,
Brunswick County, NC,0.279000014,0.152336881,0.055311907,0.093131231
Putnam County, NY,0.252999991,0.154028863,0.05564129,0.063596132
Covington County, AL,0.338,0.209398106,0.043703269,
Johnson County, WY,0.210999995,0.154063627,0.063941903,
Otsego County, NY,0.294999987,0.16972892,0.091166191,
Buncombe County, NC,0.226999998,0.164425284,0.079934731,0.108452628
Crenshaw County, AL,0.395999998,0.19977136,0.170390606,
Hot Springs County, WY,0.270999998,0.151141897,0.020946849,
Oswego County, NY,0.300000012,0.217205271,0.035251625,0.16568571
Cullman County, AL,0.345999986,0.203406051,0.031096062,0.143865027
Burke County, NC,0.319000006,0.19724828,0.135641515,0.131206078
Orleans County, NY,0.31400001,0.215646759,0.055567037,
Dale County, AL,0.36500001,0.186121851,0.105593801,
Goshen County, WY,0.301999986,0.163185596,0.107009277,
Orange County, NY,0.300999999,0.151319772,0.049523354,0.113929275
Cabarrus County, NC,0.310000002,0.168289453,0.072310179,0.090478907
Dallas County, AL,0.423999995,0.221968353,0.115562707,
Fremont County, WY,0.296999991,0.178508043,0.043491255,
Ontario County, NY,0.282999992,0.17832686,0.05293053,0.079560477
DeKalb County, AL,0.305000007,0.223633528,0.021669647,0.227076414
Caldwell County, NC,0.331999987,0.183859587,0.171274096,0.167056939
Onondaga County, NY,0.264999986,0.170211643,0.037526291,0.138983594
Elmore County, AL,0.36500001,0.186610505,0.069430217,0.095494562
Crook County, WY,0.246999994,0.149518192,0.063296802,
Camden County, NC,0.31099999,0.160675079,0.008910548,
Oneida County, NY,0.32100001,0.165329203,0.041940939,0.144973798
Escambia County, AL,0.386000007,0.208680779,0.072199397,
Converse County, WY,0.296000004,0.165330186,0.030124351,
Niagara County, NY,0.316000015,0.215486467,0.042378247,0.131054062
Etowah County, AL,0.368000001,0.231303588,0.094006166,0.171532811
Carteret County, NC,0.261000007,0.176591843,0.070666701,0.079779205
New York County, NY,0.156000003,0.132686719,0,0.155125086
Fayette County, AL,0.356000006,0.200330004,0.013544587,
Carbon County, WY,0.280000001,0.157066032,0.149314627,
Caswell County, NC,0.335000008,0.191557989,0.032988396,
